parameterGroup,firstComponent,secondComponent,cosine
plan-residual,ppo-actor,critic-value,
plan-residual,ppo-actor,action-bc,-0.034541767090559006
plan-residual,ppo-actor,move-target-bc,0.7703762054443359
plan-residual,ppo-actor,throw-target-bc,-0.04637211561203003
plan-residual,ppo-actor,power-bc,0.11433805525302887
plan-residual,ppo-actor,categorical-initializer-kl,0.0015369507018476725
plan-residual,ppo-actor,move-initializer-anchor,-0.8787446618080139
plan-residual,ppo-actor,throw-initializer-anchor,-0.049624424427747726
plan-residual,ppo-actor,power-initializer-anchor,-0.08243583887815475
plan-residual,critic-value,action-bc,
plan-residual,critic-value,move-target-bc,
plan-residual,critic-value,throw-target-bc,
plan-residual,critic-value,power-bc,
plan-residual,critic-value,categorical-initializer-kl,
plan-residual,critic-value,move-initializer-anchor,
plan-residual,critic-value,throw-initializer-anchor,
plan-residual,critic-value,power-initializer-anchor,
plan-residual,action-bc,move-target-bc,-0.059210460633039474
plan-residual,action-bc,throw-target-bc,0.08381863683462143
plan-residual,action-bc,power-bc,0.03130869194865227
plan-residual,action-bc,categorical-initializer-kl,0.7196016907691956
plan-residual,action-bc,move-initializer-anchor,0.06027882918715477
plan-residual,action-bc,throw-initializer-anchor,0.07857082039117813
plan-residual,action-bc,power-initializer-anchor,-0.045573342591524124
plan-residual,move-target-bc,throw-target-bc,-0.030851392075419426
plan-residual,move-target-bc,power-bc,-0.0026909851003438234
plan-residual,move-target-bc,categorical-initializer-kl,-0.046668704599142075
plan-residual,move-target-bc,move-initializer-anchor,-0.9579132199287415
plan-residual,move-target-bc,throw-initializer-anchor,-0.031829703599214554
plan-residual,move-target-bc,power-initializer-anchor,0.0029793092980980873
plan-residual,throw-target-bc,power-bc,-0.004365415312349796
plan-residual,throw-target-bc,categorical-initializer-kl,0.07128320634365082
plan-residual,throw-target-bc,move-initializer-anchor,0.03038603626191616
plan-residual,throw-target-bc,throw-initializer-anchor,0.9669497013092041
plan-residual,throw-target-bc,power-initializer-anchor,0.00933814886957407
plan-residual,power-bc,categorical-initializer-kl,0.02382226474583149
plan-residual,power-bc,move-initializer-anchor,0.00337643432430923
plan-residual,power-bc,throw-initializer-anchor,-0.004753687418997288
plan-residual,power-bc,power-initializer-anchor,-0.8212826251983643
plan-residual,categorical-initializer-kl,move-initializer-anchor,0.050144847482442856
plan-residual,categorical-initializer-kl,throw-initializer-anchor,0.06931007653474808
plan-residual,categorical-initializer-kl,power-initializer-anchor,-0.02538735792040825
plan-residual,move-initializer-anchor,throw-initializer-anchor,0.030780013650655746
plan-residual,move-initializer-anchor,power-initializer-anchor,-0.0037366137839853764
plan-residual,throw-initializer-anchor,power-initializer-anchor,0.009812361560761929
action-head,ppo-actor,critic-value,
action-head,ppo-actor,action-bc,0.7969096899032593
action-head,ppo-actor,move-target-bc,
action-head,ppo-actor,throw-target-bc,
action-head,ppo-actor,power-bc,
action-head,ppo-actor,categorical-initializer-kl,0.9752351641654968
action-head,ppo-actor,move-initializer-anchor,
action-head,ppo-actor,throw-initializer-anchor,
action-head,ppo-actor,power-initializer-anchor,
action-head,critic-value,action-bc,
action-head,critic-value,move-target-bc,
action-head,critic-value,throw-target-bc,
action-head,critic-value,power-bc,
action-head,critic-value,categorical-initializer-kl,
action-head,critic-value,move-initializer-anchor,
action-head,critic-value,throw-initializer-anchor,
action-head,critic-value,power-initializer-anchor,
action-head,action-bc,move-target-bc,
action-head,action-bc,throw-target-bc,
action-head,action-bc,power-bc,
action-head,action-bc,categorical-initializer-kl,0.7833115458488464
action-head,action-bc,move-initializer-anchor,
action-head,action-bc,throw-initializer-anchor,
action-head,action-bc,power-initializer-anchor,
action-head,move-target-bc,throw-target-bc,
action-head,move-target-bc,power-bc,
action-head,move-target-bc,categorical-initializer-kl,
action-head,move-target-bc,move-initializer-anchor,
action-head,move-target-bc,throw-initializer-anchor,
action-head,move-target-bc,power-initializer-anchor,
action-head,throw-target-bc,power-bc,
action-head,throw-target-bc,categorical-initializer-kl,
action-head,throw-target-bc,move-initializer-anchor,
action-head,throw-target-bc,throw-initializer-anchor,
action-head,throw-target-bc,power-initializer-anchor,
action-head,power-bc,categorical-initializer-kl,
action-head,power-bc,move-initializer-anchor,
action-head,power-bc,throw-initializer-anchor,
action-head,power-bc,power-initializer-anchor,
action-head,categorical-initializer-kl,move-initializer-anchor,
action-head,categorical-initializer-kl,throw-initializer-anchor,
action-head,categorical-initializer-kl,power-initializer-anchor,
action-head,move-initializer-anchor,throw-initializer-anchor,
action-head,move-initializer-anchor,power-initializer-anchor,
action-head,throw-initializer-anchor,power-initializer-anchor,
move-head,ppo-actor,critic-value,
move-head,ppo-actor,action-bc,
move-head,ppo-actor,move-target-bc,0.6713351011276245
move-head,ppo-actor,throw-target-bc,
move-head,ppo-actor,power-bc,
move-head,ppo-actor,categorical-initializer-kl,
move-head,ppo-actor,move-initializer-anchor,-0.8495961427688599
move-head,ppo-actor,throw-initializer-anchor,
move-head,ppo-actor,power-initializer-anchor,
move-head,critic-value,action-bc,
move-head,critic-value,move-target-bc,
move-head,critic-value,throw-target-bc,
move-head,critic-value,power-bc,
move-head,critic-value,categorical-initializer-kl,
move-head,critic-value,move-initializer-anchor,
move-head,critic-value,throw-initializer-anchor,
move-head,critic-value,power-initializer-anchor,
move-head,action-bc,move-target-bc,
move-head,action-bc,throw-target-bc,
move-head,action-bc,power-bc,
move-head,action-bc,categorical-initializer-kl,
move-head,action-bc,move-initializer-anchor,
move-head,action-bc,throw-initializer-anchor,
move-head,action-bc,power-initializer-anchor,
move-head,move-target-bc,throw-target-bc,
move-head,move-target-bc,power-bc,
move-head,move-target-bc,categorical-initializer-kl,
move-head,move-target-bc,move-initializer-anchor,-0.9538810849189758
move-head,move-target-bc,throw-initializer-anchor,
move-head,move-target-bc,power-initializer-anchor,
move-head,throw-target-bc,power-bc,
move-head,throw-target-bc,categorical-initializer-kl,
move-head,throw-target-bc,move-initializer-anchor,
move-head,throw-target-bc,throw-initializer-anchor,
move-head,throw-target-bc,power-initializer-anchor,
move-head,power-bc,categorical-initializer-kl,
move-head,power-bc,move-initializer-anchor,
move-head,power-bc,throw-initializer-anchor,
move-head,power-bc,power-initializer-anchor,
move-head,categorical-initializer-kl,move-initializer-anchor,
move-head,categorical-initializer-kl,throw-initializer-anchor,
move-head,categorical-initializer-kl,power-initializer-anchor,
move-head,move-initializer-anchor,throw-initializer-anchor,
move-head,move-initializer-anchor,power-initializer-anchor,
move-head,throw-initializer-anchor,power-initializer-anchor,
throw-head,ppo-actor,critic-value,
