component,parameterGroup,gradientNorm,gradientTensors
ppo-actor,plan-residual,0.6197578312818035,4
ppo-actor,action-head,0.03977197670507163,2
ppo-actor,move-head,0.18124087244925885,2
ppo-actor,throw-head,0.00651296972839798,2
ppo-actor,power-head,0.01582036960261836,2
ppo-actor,controller-extension,0.0,0
ppo-actor,critic,0.0,0
critic-value,plan-residual,0.0,0
critic-value,action-head,0.0,0
critic-value,move-head,0.0,0
critic-value,throw-head,0.0,0
critic-value,power-head,0.0,0
critic-value,controller-extension,0.0,0
critic-value,critic,23.02812968329233,28
action-bc,plan-residual,0.41395026083925834,4
action-bc,action-head,0.6499241192771544,2
action-bc,move-head,0.0,0
action-bc,throw-head,0.0,0
action-bc,power-head,0.0,0
action-bc,controller-extension,0.0,0
action-bc,critic,0.0,0
move-target-bc,plan-residual,0.5143202950419524,4
move-target-bc,action-head,0.0,0
move-target-bc,move-head,0.1675217552566691,2
move-target-bc,throw-head,0.0,2
move-target-bc,power-head,0.0,0
move-target-bc,controller-extension,0.0,0
move-target-bc,critic,0.0,0
throw-target-bc,plan-residual,1.189087455711402,4
throw-target-bc,action-head,0.0,0
throw-target-bc,move-head,0.0,2
throw-target-bc,throw-head,0.27456941992234324,2
throw-target-bc,power-head,0.0,0
throw-target-bc,controller-extension,0.0,0
throw-target-bc,critic,0.0,0
power-bc,plan-residual,0.1976793481863011,4
power-bc,action-head,0.0,0
power-bc,move-head,0.0,0
power-bc,throw-head,0.0,0
power-bc,power-head,0.04876428603227379,2
power-bc,controller-extension,0.0,0
power-bc,critic,0.0,0
categorical-initializer-kl,plan-residual,0.48820446757765934,4
categorical-initializer-kl,action-head,0.46075424394442116,2
categorical-initializer-kl,move-head,0.0,0
categorical-initializer-kl,throw-head,0.0,0
categorical-initializer-kl,power-head,0.0,0
categorical-initializer-kl,controller-extension,0.0,0
categorical-initializer-kl,critic,0.0,0
move-initializer-anchor,plan-residual,20.527398189940705,4
move-initializer-anchor,action-head,0.0,0
move-initializer-anchor,move-head,5.779065848499983,2
move-initializer-anchor,throw-head,0.0,2
move-initializer-anchor,power-head,0.0,0
move-initializer-anchor,controller-extension,0.0,0
move-initializer-anchor,critic,0.0,0
throw-initializer-anchor,plan-residual,40.90269283538804,4
throw-initializer-anchor,action-head,0.0,0
throw-initializer-anchor,move-head,0.0,2
throw-initializer-anchor,throw-head,11.608658492515387,2
throw-initializer-anchor,power-head,0.0,0
throw-initializer-anchor,controller-extension,0.0,0
throw-initializer-anchor,critic,0.0,0
power-initializer-anchor,plan-residual,3.843055333485262,4
power-initializer-anchor,action-head,0.0,0
power-initializer-anchor,move-head,0.0,0
power-initializer-anchor,throw-head,0.0,0
power-initializer-anchor,power-head,1.2398950668320199,2
power-initializer-anchor,controller-extension,0.0,0
power-initializer-anchor,critic,0.0,0
